OTU ,Taxa,Phylum,Class
1088,"d:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Flavobacteriia(1.0000),o:Flavobacteriales(1.0000),f:Flavobacteriaceae(0.9820),g:Mesonia(0.8898)",Bacteroidetes,Flavobacteriia
1089,"d:Bacteria(1.0000),p:Proteobacteria(0.8699),c:Alphaproteobacteria(0.8103),o:Rhodospirillales(0.5288),f:DA111(0.2999),g:Unknown_Genus_1000709(0.0386)",Proteobacteria,Alphaproteobacteria
1090,"d:Bacteria(1.0000),p:Cyanobacteria(0.7152),c:Chloroplast(0.6032),o:Unknown_Order_1002334(0.4230),f:Unknown_Family_1002335(0.2733),g:Unknown_Genus_1000441(0.0283)",Cyanobacteria,Chloroplast
1091,"d:Bacteria(1.0000),p:Latescibacteria(0.2393),c:Unknown_Class_1002406(0.0942),o:Unknown_Order_1002407(0.0501),f:Unknown_Family_1002408(0.0173),g:Unknown_Genus_1000573(0.0008)",Latescibacteria,Unknown_Class_1002406
1092,"d:Archaea(1.0000),p:Woesearchaeota__DHVEG_6_(0.9691),c:Unknown_Class_1002110(0.9775),o:Unknown_Order_1002111(0.9834),f:Unknown_Family_1002112(0.9829),g:Unknown_Genus_1000128(0.9780)",Woesearchaeota__DHVEG_6_,Unknown_Class_1002110
1093,"d:Bacteria(1.0000),p:Proteobacteria(0.9705),c:Alphaproteobacteria(0.9778),o:Caulobacterales(0.9826),f:Hyphomonadaceae(0.9838),g:Hyphomonas(0.9367)",Proteobacteria,Alphaproteobacteria
1094,"d:Bacteria(1.0000),p:Proteobacteria(0.7342),c:Deltaproteobacteria(0.6924),o:Desulfobacterales(0.6091),f:Desulfobacteraceae(0.4319),g:Candidatus_Magnetoglobus(0.0176)",Proteobacteria,Deltaproteobacteria
1095,"d:Bacteria(1.0000),p:Planctomycetes(0.9718),c:Planctomycetacia(0.9788),o:Planctomycetales(0.9843),f:Planctomycetaceae(0.9820),g:Rhodopirellula(0.9734)",Planctomycetes,Planctomycetacia
1096,"d:Bacteria(1.0000),p:Proteobacteria(0.9592),c:Alphaproteobacteria(0.9681),o:Rhodobacterales(0.8063),f:Rhodobacteraceae(0.7884),g:Tropicibacter(0.1264)",Proteobacteria,Alphaproteobacteria
1097,"d:Bacteria(1.0000),p:Proteobacteria(0.9230),c:Deltaproteobacteria(0.9046),o:Myxococcales(0.7503),f:Sandaracinaceae(0.6043),g:uncultured_11491(0.4815)",Proteobacteria,Deltaproteobacteria
1098,"d:Bacteria(1.0000),p:Lentisphaerae(0.9672),c:Oligosphaeria(0.9786),o:Unknown_Order_1002450(0.9826),f:Unknown_Family_1002451(0.9838),g:Unknown_Genus_1000593(0.9753)",Lentisphaerae,Oligosphaeria
1099,"d:Bacteria(1.0000),p:Chloroflexi(0.9790),c:Anaerolineae(0.9825),o:Anaerolineales(0.9879),f:Anaerolineaceae(0.9898),g:uncultured_1395(0.9744)",Chloroflexi,Anaerolineae
1100,"d:Bacteria(1.0000),p:Latescibacteria(0.9592),c:Unknown_Class_1002406(0.9681),o:Unknown_Order_1002407(0.9745),f:Unknown_Family_1002408(0.9595),g:Unknown_Genus_1000573(0.9736)",Latescibacteria,Unknown_Class_1002406
1101,"d:Bacteria(1.0000),p:Proteobacteria(0.9913),c:Deltaproteobacteria(0.9848),o:Sh765B_TzT_29(0.9834),f:Unknown_Family_1002579(0.9829),g:Unknown_Genus_1000858(0.9780)",Proteobacteria,Deltaproteobacteria
1102,"d:Bacteria(1.0000),p:Planctomycetes(0.9698),c:Planctomycetacia(0.9778),o:Planctomycetales(0.9836),f:Planctomycetaceae(0.9827),g:Rhodopirellula(0.0533)",Planctomycetes,Planctomycetacia
1103,"d:Bacteria(1.0000),p:Proteobacteria(0.7342),c:Alphaproteobacteria(0.6688),o:Rhizobiales(0.5481),f:Rhodobiaceae(0.3594),g:Rhodobium(0.0825)",Proteobacteria,Alphaproteobacteria
1104,"d:Bacteria(1.0000),p:Candidate_division_OP3(0.5540),c:Unknown_Class_1002231(0.3870),o:Unknown_Order_1002232(0.2275),f:Unknown_Family_1002233(0.1193),g:Unknown_Genus_1000354(0.0073)",Candidate_division_OP3,Unknown_Class_1002231
1105,"d:Bacteria(1.0000),p:Bacteroidetes(0.7233),c:Sphingobacteriia(0.5957),o:Sphingobacteriales(0.3877),f:Saprospiraceae(0.1668),g:uncultured_1272(0.0061)",Bacteroidetes,Sphingobacteriia
1106,"d:Bacteria(1.0000),p:Proteobacteria(0.8169),c:Betaproteobacteria(0.6688),o:Hydrogenophilales(0.3877),f:Hydrogenophilaceae(0.2467),g:uncultured_2998(0.0247)",Proteobacteria,Betaproteobacteria
1107,"d:Bacteria(1.0000),p:Planctomycetes(0.9646),c:Planctomycetacia(0.7867),o:Planctomycetales(0.6701),f:Planctomycetaceae(0.5583),g:Pirellula(0.0212)",Planctomycetes,Planctomycetacia
