"Supplemental Table 1. Assigned Prokaryotic, 16S Taxa to OTU ID",,,,,,,,,
,,,,,,,,,
,OTU,Taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species
31,30,"d:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Flavobacteriia(0.9778),o:Flavobacteriales(0.9836),f:Cryomorphaceae(0.9834),g:Owenweeksia(0.9764)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Owenweeksia,NA
32,31,"d:Bacteria(1.0000),p:Bacteroidetes(0.9949),c:Flavobacteriia(0.9904),o:Flavobacteriales(0.9970),f:Flavobacteriaceae(0.9974),g:NS5_marine_group(0.9736)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,NA
33,32,"d:Bacteria(1.0000),p:Bacteroidetes(0.9949),c:Flavobacteriia(0.9904),o:Flavobacteriales(0.9970),f:Flavobacteriaceae(0.9831),g:NS4_marine_group(0.9734)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,NA
34,33,"d:Bacteria(1.0000),p:Cyanobacteria(1.0000),c:Chloroplast(1.0000),o:Unknown_Order_1002334(1.0000),f:Unknown_Family_1002335(1.0000),g:Unknown_Genus_1000441(1.0000)",Bacteria,Cyanobacteria,Chloroplast,Unknown_Order_1002334,Unknown_Family_1002335,Unknown_Genus_1000441,NA
35,34,"d:Bacteria(1.0000),p:Proteobacteria(0.9986),c:Alphaproteobacteria(0.9968),o:SAR11_clade(0.9990),f:Surface_2(0.6504),g:Unknown_Genus_1000744(0.6585)",Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Surface_2,Unknown_Genus_1000744,NA
36,35,"d:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Flavobacteriia(1.0000),o:Flavobacteriales(1.0000),f:Flavobacteriaceae(1.0000),g:NS5_marine_group(0.9756)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,NA
37,36,"d:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Flavobacteriia(1.0000),o:Flavobacteriales(1.0000),f:Flavobacteriaceae(0.9824),g:NS5_marine_group(0.9744)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,NA
38,37,"d:Bacteria(1.0000),p:Proteobacteria(0.9705),c:Gammaproteobacteria(0.9778),o:Oceanospirillales(0.9830),f:SAR86_clade(0.9834),g:Unknown_Genus_1000950(0.9764)",Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,SAR86_clade,Unknown_Genus_1000950,NA
39,38,"d:Bacteria(1.0000),p:Proteobacteria(0.9646),c:Gammaproteobacteria(0.9410),o:Chromatiales(0.9182),f:Ectothiorhodospiraceae(0.9075),g:Unknown_Genus_1000902(0.9132)",Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Unknown_Genus_1000902,NA
40,39,"d:Bacteria(1.0000),p:Proteobacteria(0.9665),c:Gammaproteobacteria(0.9786),o:Oceanospirillales(0.9783),f:Oceanospirillaceae(0.9803),g:Neptuniibacter(0.9736)",Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Neptuniibacter,NA
41,40,"d:Bacteria(1.0000),p:Bacteroidetes(0.9705),c:Sphingobacteriia(0.9248),o:Sphingobacteriales(0.8343),f:Saprospiraceae(0.6964),g:uncultured_1272(0.2159)",Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured_1272,NA
42,41,"d:Archaea(0.0000),p:Miscellaneous_Crenarchaeotic_Group(0.0012),c:Unknown_Class_1002026(0.0008),o:Unknown_Order_1002027(0.0002),f:Unknown_Family_1002028(0.0001),g:Unknown_Genus_1000090(0.0000)",Archaea,Miscellaneous_Crenarchaeotic_Group,Unknown_Class_1002026,Unknown_Order_1002027,Unknown_Family_1002028,Unknown_Genus_1000090,NA
43,42,"d:Bacteria(1.0000),p:Bacteroidetes(0.9230),c:Flavobacteriia(0.9302),o:Flavobacteriales(0.8623),f:Flavobacteriaceae(0.8344),g:Lutibacter(0.1411)",Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lutibacter,NA
44,43,"d:Bacteria(1.0000),p:Proteobacteria(0.9550),c:Alphaproteobacteria(0.9464),o:Rhodobacterales(0.7223),f:Rhodobacteraceae(0.6504),g:Thalassobius(0.1411)",Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassobius,NA
45,44,"d:Bacteria(1.0000),p:Gracilibacteria(0.7288),c:Unknown_Class_1002391(0.6477),o:Unknown_Order_1002392(0.5786),f:Unknown_Family_1002393(0.3956),g:Unknown_Genus_1000568(0.1118)",Bacteria,Gracilibacteria,Unknown_Class_1002391,Unknown_Order_1002392,Unknown_Family_1002393,Unknown_Genus_1000568,NA
46,45,"d:Bacteria(1.0000),p:Proteobacteria(0.9665),c:Alphaproteobacteria(0.9786),o:Rhodobacterales(0.9707),f:Rhodobacteraceae(0.9283),g:Tropicibacter(0.4815)",Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tropicibacter,NA
47,46,"d:Bacteria(1.0000),p:Proteobacteria(0.9949),c:Gammaproteobacteria(0.9797),o:Oceanospirillales(0.9796),f:JL_ETNP_Y6(0.5583),g:Unknown_Genus_1000942(0.4815)",Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,JL_ETNP_Y6,Unknown_Genus_1000942,NA
48,47,"d:Bacteria(1.0000),p:Proteobacteria(0.9685),c:Alphaproteobacteria(0.9775),o:Rhizobiales(0.9826),f:Bradyrhizobiaceae(0.9283),g:Bradyrhizobium(0.7470)",Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,NA
49,48,"d:Bacteria(1.0000),p:Gracilibacteria(0.9635),c:Unknown_Class_1002391(0.9797),o:Unknown_Order_1002392(0.9796),f:Unknown_Family_1002393(0.9845),g:Unknown_Genus_1000568(0.9746)",Bacteria,Gracilibacteria,Unknown_Class_1002391,Unknown_Order_1002392,Unknown_Family_1002393,Unknown_Genus_1000568,NA
